iteration,timestamp,no_of_UAV,no_of_Fail_UAV,Coverage,network_efficiency,num_components
5,9,6,0,59.5,0.8667,1
5,10,7,0,58.0,0.5714,2
5,11,7,0,55.5,0.5952,2
5,12,7,0,65.0,0.8095,1
5,13,7,0,67.0,0.8095,1
5,14,7,0,59.5,0.8333,1
5,15,8,0,34.5,0.6071,2
5,16,8,0,31.5,0.256,4
5,17,8,0,37.5,0.4583,2
5,18,8,0,55.5,0.5774,2
5,19,8,0,61.0,0.6024,1
5,20,9,0,75.0,0.7361,1
5,21,9,0,68.0,0.6991,1
5,22,9,0,74.5,0.8472,1
5,23,9,0,69.5,0.7963,1
5,24,9,0,68.0,0.8333,1
5,25,10,0,75.5,0.7333,1
5,26,10,0,76.5,0.7444,1
5,27,10,0,83.0,0.6852,1
5,28,10,0,78.5,0.7519,1
5,29,10,0,80.0,0.7222,1
5,30,11,0,42.0,0.577,1
5,31,11,0,76.5,0.6318,1
5,32,11,0,79.0,0.6091,2
5,33,11,0,83.5,0.7515,1
5,34,11,0,81.0,0.6515,1
5,35,11,1,86.5,0.6894,1
5,36,11,1,87.0,0.7697,1
5,37,11,1,86.5,0.7394,1
5,38,11,1,91.0,0.6727,1
5,39,11,1,86.0,0.7,1
5,40,11,2,80.0,0.7606,1
5,41,11,2,90.0,0.6667,1
5,42,11,2,83.5,0.6636,2
5,43,11,2,84.5,0.7818,1
5,44,11,2,91.5,0.7667,1
5,45,12,2,34.5,0.5402,1
5,46,12,2,54.5,0.4343,4
5,47,12,2,79.5,0.5076,2
5,48,12,2,78.0,0.5619,2
5,49,12,2,80.5,0.6742,1
5,50,13,2,82.0,0.6688,1
5,51,12,3,84.0,0.672,1
5,52,11,4,82.0,0.6869,1
5,53,11,4,94.5,0.6909,1
5,54,10,5,81.5,0.6909,1
5,55,9,7,89.0,0.6606,1
5,56,9,7,63.5,0.7014,1
5,57,9,7,89.0,0.7407,1
5,58,8,8,74.5,0.6806,1
5,59,8,8,74.0,0.7083,1
5,60,9,8,67.5,0.6329,1
5,61,9,8,84.0,0.7593,1
5,62,9,8,63.5,0.6667,1
5,63,9,8,68.0,0.7407,1
5,64,9,8,76.0,0.6435,1
5,65,10,8,82.0,0.7222,1
5,66,10,8,77.0,0.737,1
5,67,10,8,83.0,0.7259,1
5,68,10,8,75.5,0.6778,1
5,69,10,8,80.5,0.7,1
5,70,11,8,74.5,0.5106,2
5,71,11,8,72.0,0.6242,2
5,72,10,9,74.5,0.7,2
5,73,10,9,75.5,0.6815,1
5,74,10,9,81.0,0.6889,1
5,75,10,9,68.0,0.6148,1
6,0,5,0,0.0,1.0,1
6,1,5,0,15.5,0.3,3
6,2,5,0,37.5,0.5,2
6,3,5,0,43.0,0.6417,1
6,4,5,0,40.0,0.55,2
6,5,6,0,44.0,0.6,2
6,6,6,0,51.0,0.4667,2
6,7,6,0,64.0,0.7111,1
6,8,6,0,60.0,0.8667,1
6,9,6,0,63.5,0.8333,1
6,10,7,0,70.5,0.8333,1
6,11,7,0,66.0,0.5849,1
6,12,6,1,64.0,0.8333,1
6,13,6,1,69.5,0.7667,1
6,14,6,1,52.5,0.7444,1
6,15,7,1,0.0,0.4921,2
6,16,7,1,8.5,0.5849,1
6,17,7,1,23.5,0.7778,1
6,18,7,1,40.0,0.8492,1
6,19,7,1,45.0,0.5873,2
6,20,8,1,50.5,0.8214,1
6,21,8,1,60.0,0.756,1
6,22,8,1,58.0,0.7798,1
6,23,8,1,68.5,0.8155,1
6,24,8,1,63.5,0.7976,1
6,25,9,1,70.0,0.669,1
6,26,9,1,71.0,0.6991,1
6,27,9,1,72.5,0.7731,1
6,28,9,1,68.0,0.7083,1
6,29,9,1,69.5,0.7269,1
6,30,10,1,49.0,0.6296,1
6,31,10,1,55.5,0.6593,1
6,32,10,1,78.5,0.6593,1
6,33,10,1,82.0,0.7037,1
6,34,10,1,83.5,0.6926,1
6,35,11,1,73.5,0.5879,2
6,36,11,1,74.0,0.7273,1
6,37,11,1,88.0,0.7818,1
6,38,11,1,82.5,0.7303,1
6,39,11,1,79.5,0.6061,1
6,40,12,1,63.5,0.6886,1
6,41,12,1,88.5,0.697,1
6,42,12,1,82.5,0.7424,1
6,43,12,1,78.0,0.7247,1
6,44,12,1,85.5,0.7311,1
6,45,13,1,49.0,0.4615,3
6,46,13,1,65.0,0.4746,2
6,47,13,1,66.0,0.6024,1
6,48,13,1,68.0,0.563,2
6,49,13,1,86.0,0.516,2
6,50,14,1,81.5,0.5604,2
6,51,14,1,87.0,0.652,1
6,52,14,1,87.0,0.7125,1
6,53,13,2,98.5,0.6685,1
6,54,11,4,89.0,0.6581,1
6,55,11,5,80.5,0.6288,1
6,56,11,5,82.0,0.6864,1
6,57,11,5,87.5,0.6515,1
6,58,11,5,90.0,0.7606,1
6,59,11,5,84.5,0.6545,2
6,60,12,5,55.0,0.4811,3
6,61,12,5,63.5,0.6578,1
6,62,11,6,68.0,0.6338,1
6,63,11,6,66.5,0.497,2
6,64,11,6,71.5,0.6818,1
6,65,12,6,71.0,0.6553,1
6,66,12,6,72.0,0.6402,1
6,67,12,6,63.5,0.6465,1
6,68,10,8,73.5,0.5545,2
6,69,10,8,66.5,0.6815,1
6,70,11,8,77.5,0.6121,2
6,71,11,8,72.5,0.5318,2
6,72,11,8,82.0,0.6303,2
6,73,11,8,86.0,0.5576,2
6,74,11,8,84.5,0.6182,2
6,75,11,8,71.0,0.4794,2
7,0,5,0,14.0,1.0,1
7,1,5,0,22.0,0.5,2
7,2,5,0,37.0,0.7833,1
7,3,5,0,41.0,0.7833,1
7,4,5,0,56.0,0.9,1
7,5,6,0,55.5,0.9,1
7,6,6,0,66.5,0.7778,1
7,7,6,0,57.5,0.7444,1
7,8,6,0,54.0,0.6,2
7,9,6,0,64.0,0.7667,1
7,10,7,0,70.0,0.8095,1
7,11,7,0,68.5,0.7619,1
7,12,7,0,72.0,0.7222,1
7,13,7,0,61.0,0.881,1
7,14,7,0,69.5,0.8333,1
7,15,8,0,3.5,0.6429,1
7,16,8,0,28.5,0.4387,2
7,17,8,0,37.0,0.6845,1
7,18,8,0,31.0,0.625,2
7,19,8,0,46.5,0.6012,2
7,20,9,0,52.0,0.75,1
7,21,9,0,55.0,0.4861,3
