iteration,time_step,uav_id,death_type,final_energy,neighbors_notified,replacement_needed
35,58,2,ENERGY_DEPLETION,0,4,Yes
35,58,3,ENERGY_DEPLETION,0,0,Yes
35,58,4,ENERGY_DEPLETION,0,0,Yes
35,60,5,ENERGY_DEPLETION,0,0,Yes
35,66,6,ENERGY_DEPLETION,0,0,Yes
35,71,7,ENERGY_DEPLETION,0,0,Yes
35,75,8,ENERGY_DEPLETION,0,0,Yes
36,52,2,ENERGY_DEPLETION,0,0,Yes
36,53,4,ENERGY_DEPLETION,0,0,Yes
36,54,3,ENERGY_DEPLETION,0,0,Yes
36,55,1,ENERGY_DEPLETION,0,0,Yes
36,58,0,ENERGY_DEPLETION,0,0,Yes
36,59,5,ENERGY_DEPLETION,0,0,Yes
36,67,6,ENERGY_DEPLETION,0,0,Yes
36,72,7,ENERGY_DEPLETION,0,0,Yes
36,72,8,ENERGY_DEPLETION,0,0,Yes
37,52,4,ENERGY_DEPLETION,0,0,Yes
37,54,0,ENERGY_DEPLETION,0,0,Yes
37,54,1,ENERGY_DEPLETION,0,0,Yes
37,57,3,ENERGY_DEPLETION,0,0,Yes
37,59,2,ENERGY_DEPLETION,0,0,Yes
37,60,5,ENERGY_DEPLETION,0,0,Yes
37,68,6,ENERGY_DEPLETION,0,0,Yes
37,68,7,ENERGY_DEPLETION,0,0,Yes
38,25,6,STOCHASTIC_FAILURE,90151.12,3,Yes
38,25,6,ENERGY_DEPLETION,0,0,Yes
38,52,3,ENERGY_DEPLETION,0,0,Yes
38,54,1,ENERGY_DEPLETION,0,0,Yes
38,54,4,ENERGY_DEPLETION,0,0,Yes
38,55,0,ENERGY_DEPLETION,0,0,Yes
38,55,2,ENERGY_DEPLETION,0,0,Yes
38,62,5,ENERGY_DEPLETION,0,0,Yes
38,71,7,ENERGY_DEPLETION,0,0,Yes
38,75,8,ENERGY_DEPLETION,0,0,Yes
39,53,0,ENERGY_DEPLETION,0,0,Yes
39,53,4,ENERGY_DEPLETION,0,0,Yes
39,54,1,ENERGY_DEPLETION,0,0,Yes
39,55,3,ENERGY_DEPLETION,0,0,Yes
39,56,2,ENERGY_DEPLETION,0,0,Yes
39,61,5,ENERGY_DEPLETION,0,0,Yes
39,62,6,ENERGY_DEPLETION,0,0,Yes
